,,actual,prediction,teks
1756,,0,1,pilih gubernur apa imam keluarga ya pinter bgt ya
1757,,0,-1,bapak spt ular kepala kdg santun tiba bs luar biasa kejam balut senyum mau pimpin dia
1758,,0,-1,mau nyamar santun apa ular teteplah oray
1759,,-1,1,nyata kagum kini hilang p aniessandi
1760,,0,-1,emang tidak ya full adu program kenapa musti agama mulu bawa
1761,,0,-1,foto bagi bagi duit aksi fpi bela rizieq tau sumber
1762,,0,-1,memang bung aniessandi maen rebut dukung tidak
1763,,0,1,jangan salah pilih akhir sambut
1764,,0,1,basuki anti korupsi salam jari
1765,,0,1,anda benar tuju iklan macam seperti bapak aniessandi
1766,,0,1,bukti cinta warga jakarta ahokdjarot
1767,,0,-1,tidak pecat kenapa tidak bilang begitu
1768,,0,-1,terimakasih om lama palsu ya
1769,,0,-1,iklan kampanye cagubnya malah provokasi beda agama
1770,,0,1,anw iklan kampanye bapak memang benar cerdass sangat didik benar hanya demi
1771,,0,-1,maju terus bapak tolak pantai reklamasi cebong cina
1772,,0,1,lanjut cagub
1773,,0,-1,jangan hafal tetap punya bukti fakta kerja jangan retorika
1774,,0,-1,sby curhat dukung pkb jaksel alih
1775,,1,0,konsolidasi saksi aniessandi aniessandi semoga tuhan berik menang
1776,,0,1,buat saya om abang bapak
1777,,0,-1,gakpapa minoritas tolak mesjid mushalla penting tidak tolak tuhan
1778,,0,1,kocak om
1779,,0,-1,setelah skandal firza rizieq fpi tobat mereka
1780,,0,-1,yaudh blg jangan jual pake al maidah jual program
1781,,0,-1,fpi tidak islami ngaku islam mesti tau siapa kelom
1782,,0,-1,elo sampa ya
1783,,0,1,mantap
1784,,0,-1,gali lbh program ahokdjarot saiful
1785,,0,-1,waduh malah tetabgga sebelah panik ribut oasulan nasbung
1786,,0,1,aalam jari tunjukn jati diri jangn orang pintar tapy tidak benar kami butuh orang pintar kami perlu orang bnr
1787,,0,-1,tangkap aktor mesan ktp palsu
1788,,0,-1,suku dayak tuntut fpi bubar bagaimana fpi bubar
1789,,0,-1,harus desak dulu baru mau fpi
1790,,0,-1,enak ya ngayalnya
1791,,0,-1,mbok kalu emang kamu kenapa cuman tahun kamu pimpin dikbud
1792,,0,-1,saya bingung nonaktif menteri didik masih lempar isu ttg didik memang dulu mana abang
1793,,0,-1,pimpin fpi mesum tidak moral moral tidak bawah ketiak fpi
1794,,0,-1,cagubnya suka salah data jubirnya lebih parah suka tidak punya data senang rituit twit sampah
1795,,0,-1,thn pecat menteri br tau alas kenapa
1796,,0,1,hbgn saudara antara agussylvi gubernur tanding fpi dukung
1797,,1,0,aniessandi aniessandi
1798,,0,1,mantap
1799,,0,-1,cuci muka dulu tong
1800,,0,1,semua bebas tentu pilih jangan saling serang sbb pilih beda
1801,,0,-1,baru mau sebut sudah py pikir cerdas
1802,,-1,0,saran mai nyalip lihat sikon mampu pribadi beli kaca cermin dulu sampa bapak aniessandi ya
1803,,-1,1,kasihan bapak isi otakny penuh benci sara smg bapa dapat hidayah
1804,,0,1,ayo kawal menang agussylvi
1805,,0,-1,iklan saya jam dulu iklan tidak bawa sara
1806,,0,1,sudah hati sejak gubernur lanjut tidak baru atas ide bapak
1807,,0,-1,pilih sipit
1808,,0,1,tuju banget anak jalan masih keliar makin banyak dinsosnya merem bapak bro
1809,,0,-1,pantes sekarang lengket sm rizieq bntr mgkn materi stand up sm kaya junjung smg tidak
1810,,0,-1,niat buat mereka pemilh gelap ya tahu
1811,,0,-1,semoga tidak ajar anak anak rasis kemudian hari lebih baik kurang didik drpda kelak musuh nkri
1812,,0,-1,licik santun lol
1813,,0,1,orang datang jakarta adalah tarung juang
1814,,0,-1,bapak kamu lupa
1815,,0,-1,enak ya ahokdjarot anak emas polisi
1816,,0,1,tuju bagus kemarin begitu harap sbg sosok politis masa depan sptnya kita harap tinggi
1817,,0,-1,hanya orang kurang peknik tidak teko tidak paham apa ucap aniessandi
1818,,0,-1,kurang kurang ya abang mau kampanye masuk akal sehat
1819,,0,1,kemarin begitu harap sbg sosok politis masa depan sptnya kita harap tinggi
1820,,0,-1,enga ahokdjarot nanti kl dah gubernur liberal ya engga abang
1821,,-1,1,terimakasih abang saya makin yakin tidak pilih
1822,,0,-1,semoga abang ingat janji ya tulis oleh orang ya jangan pura pura lupa ya
1823,,0,-1,mungkin jelas masa kualitas cagub mantan menteri didik malah tidak
1824,,0,-1,padahal dl banget ikut indonesia ajar kecewa bapak
1825,,0,-1,memang perintah agama yakin tidak salah
1826,,0,-1,kalap kyx halal sgl cara duly musuhin syiah jil
1827,,0,1,tidak memang punya alam kerja tidak sebut pernah henti atas ya
1828,,0,-1,dadak pingin berak
1829,,0,-1,an old low justru tunjuk dukung dukung abang tebar hoax fitnah mana
1830,,0,-1,tidak curang tanpa rekayasa maksa maka menang
1831,,0,-1,teori tanpa praktek minum tidak aernya
1832,,0,1,mantap kompak banget
1833,,0,-1,makin tahu belang abang amit amit
1834,,0,1,ubah sangat cepat abang persis tidak diri
1835,,0,-1,ngakunya dukung didik maju iklan rasis aniessandi kubur cita ajar non muslim leader wtf
1836,,0,-1,mantan asbum
1837,,0,-1,malu tau salah bentar nyata iklan ilegal alias unofficial booommm
1838,,0,-1,saya sudah tidak kaget abang dukung fpi saya sudah tahu mereka paham
1839,,1,-1,semoga abang bs sadar ya jangan arogan debat dukung fpi malape
1840,,1,0,selamat ya abang dapat dukung fpi
1841,,0,-1,jilat sana jilat sini
1842,,0,1,mantap bapak tanggal feb besok saya coblos tidak
1843,,0,1,nomor
1844,,0,-1,norak norak norak norak bapak norak
1845,,0,-1,makin tunjuk watak abang haus kuasa cermin foto bukan rahasia umu
1846,,-1,0,saya tidak bayang jika abang gubernur dki dekat preman agama rusak
1847,,0,-1,lawan negara lain leceh nkri
1848,,0,-1,tidak punya rupiah punya uang arab ya
1849,,0,-1,sendiri rusak citra politik bangsa indonesia
1850,,0,1,anda mau pilih pemimpin idola orang fir aun
1851,,0,-1,astaga abang nama fitnah cuekkin abang tidak usah lebay citra
1852,,0,-1,kl video mulut apa ya
1853,,0,-1,kartu kjp tidak berlaku non muslim cukup baca nulis terus ngaret gitu cocok cangkeme top
1854,,0,-1,abang bos sudah mulai sindir anak sby lebih baik suruh cermin diri
1855,,0,-1,dkungan fpi rasis irama mreka mrusak nkri bayang jk aniessandi brkuasa fpi mrajarela mru
1856,,0,1,nomor urut menang pilkada dki jakarta
1857,,0,-1,punya otak tidak
1858,,0,-1,islam adalah rahmat semesta alam apa dia sikap intoleran
1859,,0,-1,abang sungguh norak timses anda
1860,,0,1,objektivitas khas hilang sukses sulap
1861,,0,-1,abang iklan jangan rasis hanya mau gubernur anda jual agama
1862,,0,-1,lihat anak rusak gara fpi fpi dukung sengkuni
1863,,0,-1,saya sudah capek sm laki laki banyak omong seperti abang abang stop tidak action talk
1864,,0,-1,juru bicara sendiri tidak sinkron cagubnya jilat sedang jubirnya ludah
1865,,0,-1,abang belum buat program kerja update berita ya belum bicara depan publik malu nanti
1866,,0,-1,ya nama antek fpi ya
1867,,0,-1,tidak perlu korek luar sudah lihat rasisnya orang
1868,,1,0,pantun dlu bt abang abang tes tes ambil teh manis didlm kendi cln gbrnur emg sya plh abang aniessandi aniessandi
1869,,0,-1,abang tukang bohong pkb atau ya abang
1870,,0,-1,bapak bagaimana bagaimana kalah kalian begini memang kalah
1871,,0,-1,untung pilkada dki topeng jati diri bongkar ambisi kuasa memang buat dia
1872,,0,-1,wah timses blunder bapak anak sindir
1873,,0,-1,agama beda ya nanti dulu
1874,,0,1,lang pasti tetap focus dukung
1875,,0,-1,tim ahokdjarot acara tipu bukti
1876,,0,1,ahokdjarot sudah laksana
1877,,0,-1,gagal paham mou jangan kagak tau lo makanya jangan sok keminter
1878,,0,1,retweet saya kpd orang mungkin sampai saat masih saya kagum salam sa
1879,,0,-1,saya ykn hati kecil anda rasa cuma sudah kadung timses saya tidak tau bnr tidak anda tidak bs tarik dukung
1880,,0,-1,so what said in tenun bangsa just scrap citra mata persis spt laku sang mantan
1881,,0,-1,saya respect saya rela kl dia menang bgitu dia mendtgi fpi rangkul fpi respect saya hilang
1882,,0,-1,yakin tidak jual agama
1883,,0,-1,sekal orang nilai orang spt apa bersukur bapak sudah mecat orang
1884,,0,1,jelas apbd dki sangat besar daya tarik bg banyak oranh
1885,,0,-1,terus habis rekam adegan apa
1886,,0,-1,mantan
1887,,0,-1,cari suara suporter persija superterny akebanyakan bocah bocah
1888,,0,-1,sejak dl kali kmn aj abang lama menteri
1889,,0,1,santai abang broo
1890,,0,1,rakyat dki cuma butuh gubernur jujur anti korup pungli jiwa ayan
1891,,0,-1,otak yahudi laknatullah
1892,,0,-1,isu sara cara trik tidak unk cari simpatik suara tidak laku s basi
1893,,0,1,saya orang indonesia asli abang broo
1894,,-1,0,aniessandi sudah mulai rasisme
1895,,0,-1,urus hrd bapak tiap usaha punya kriteria hrd nyeleksi perilaku bicara hrd tidak bego kali bapak
1896,,0,-1,bnyk pkerja seni takut milih ahokdjarot priuk nasi aman
1897,,0,-1,tidak aksi jilid hanya rutan
1898,,0,1,nyok
1899,,0,1,lucuu banget bapak sukaa nontonnyaaa
1900,,-1,0,nyata benar kata orang tidak lbh bunglon
1901,,0,-1,sabar om cuma bagi taqqiya nanti kalah om balik kafir islam liberal
1902,,-1,0,tenun bangsa sudah jual kayak jual pasar loak ya tidak bro
1903,,0,-1,berani bilang
1904,,0,-1,mbk kamu tau apa tentang nista agam jangan banyak bekoar koar
1905,,0,1,kreatif bapak lucu
1906,,0,-1,cuma punya pemimpin cuman pintar omong cuman pintar omong
1907,,0,-1,semua warga minta gusur menang besar tu cukong ahokdjarot
1908,,0,1,begitu pilih ya yakin saj
1909,,0,-1,bahagia warga penting jangan gusur gusur melulu
1910,,0,-1,arti saat pimpin ahokdjarot apbd guna lebih manfaat
1911,,0,-1,satu beda damai bagi semua bawa agama kampanye nama munafik
1912,,0,-1,nama gubernur kata ahokdjarot gitu
1913,,0,-1,memang pake uang apbd dulu uang jatah rakyat korupsi
1914,,0,-1,labil begitu
1915,,0,-1,males
1916,,0,-1,emg pilih tidak pilih mau bikinin stadion knpa tidak dulu gilir pilkada sok peduli
1917,,0,-1,bwt kumur mulut bos bakteri lumayan gratis
1918,,0,-1,tidak laku jual
1919,,0,-1,awas tangkap libas hajar tendang
1920,,0,-1,demi tuhan anda sudah kalah modal anda hany peci propokasi basa basi sbelum trlambat robah strategi simpati pke hti
1921,,0,1,putar pertama lolos tuhan putar dua menang
1922,,1,0,jangan putus asa semangat ya
1923,,1,0,dukung kembali dosen gubernur ahokdjarot maaf ya dki butuh ahokdjarot bukan aniessandi dosen genit
1924,,0,-1,sadar
1925,,0,1,coblos tidak
1926,,0,-1,brarti abang mencla mencle
1927,,0,-1,ingin gubernur watak asli so looo
1928,,0,-1,dulu pake topeng kini lihat asli
1929,,0,-1,kocak kamu
1930,,-1,0,usak tenun bangsa rijek
1931,,0,1,saya suka bapak aniessandi kata bapak gubernur fpi saya tidak suka fpi baik bagaimana bapak
1932,,0,-1,sudah hari peci kandang hujan
1933,,0,-1,kamu jarang baca ato nonton tipi y ckckck
1934,,-1,0,kampung derer sudah bangun tong
1935,,1,-1,abang sini bukan gaya atau citra benar ingin ibadah umat is
1936,,0,-1,agussylvi agussylvi tidak ingkar janji
1937,,-1,0,kayaqnya abang lupa ya sm kasus
1938,,1,0,paslon tidak umpat kata kotor banding paslon sebut adalah
1939,,-1,0,lebih bahaya jika umat muslim pilih pemimpin non muslim
1940,,-1,0,demi pilkada segala preman geber opa
1941,,-1,0,orang miskin gaji ribu mending orange biru gaji umr ya
1942,,0,-1,omg masih kayak gin
1943,,-1,0,makan bangku skul jangan rayap
1944,,-1,0,masih lihat texbookx bilang luar byasa aneh mw putar ulang tah rkamannya
1945,,0,-1,kami sudah buat belum lain pikir
1946,,-1,0,belum bahagia rakyat minimal jangan buat mereka tangis
1947,,0,-1,coba lihat mata saat nyanyi lagu bangsa r mata tidak fokus depan apa dia pikir
1948,,0,1,tulis buku saat kampanye bukti agussylvi punya intelektual tinggi
1949,,-1,0,hoakin
1950,,-1,1,cemen salam jari
1951,,-1,0,sering baca data benar
1952,,-1,0,astaga mpok silvy mana kutip debat bapak ahokdjarot
1953,,-1,0,sudah kebelet gubernur shg esensi prtanyan tidak t rjawab kebelet
1954,,1,0,oce maju usaha bahagia warga
1955,,-1,0,usaha terakir
1956,,1,0,bandingin mulu ama kota papua walau didik kalah jawa jauh lebh baik toleran nasionalis
1957,,1,-1,debat akhir agussylvi jago
1958,,-1,1,maaf ya bapak tolong bapak hormat baca hidup nomor
1959,,1,0,ayo rame ayo
1960,,1,0,akhir mudah mudah atau menang pilkada dki adalah pilih buruk
1961,,-1,1,tiap pagi tunggu in warga jkrt antri kasar ahokdjarot cuma koruptor n maling
1962,,0,1,pemimpin jangan selalu curiga rakyat
1963,,-1,0,naik capung
1964,,0,-1,tidak ampun bagi bandarnarkoba
1965,,1,0,semoga kampanye akbar hr mmbwa prubahan mbwa tingkat elektabilitas semoga hr akhir kampanye mbwa hsil slmt brjuang
1966,,-1,0,jangan lupa ngasih tali asih sumbang biaya transportasi kepada korlap ya bilang
1967,,0,-1,lugas papar rapor buruk ahokdjarot
1968,,-1,1,setelah amat timbang nilai nyata jam tang jam terbang sangat rendah sekal wawas hanya hafal
1969,,0,1,kerja kls atas asyik nge twitt para dukung mari kompak tuk damai aza pilih n
1970,,-1,0,ngaku nie berkarakter emosi tidak ubah ya abang veteran berkarakter mulia
1971,,0,-1,nonton orasi habib rizieq
1972,,0,1,utama sejahtera rakyat
1973,,-1,1,gin siap debat hafal fokus angka puluh ribu lupa realistis or not
1974,,0,-1,debat semua paslon telah baik kurang debat belum
1975,,-1,0,makin beringas apakah suruh agussylvi manfaat giat agama dpt simpat
1976,,0,-1,ayuh perang bela jago mumpung besok wekeend
1977,,0,-1,jangan percaya hoax
1978,,-1,1,tidak mutu ya calon nomer
1979,,0,1,siap juang garda depan
1980,,-1,0,apa anda tegas atw tegas bawah lunak atas
1981,,-1,0,bapak agussylvi kalah mo apa ya kita tanya
1982,,0,1,jaket relawan rtrw lekat cocok banget pakai cagub agussylvi rtrw se dki menang agussylvi agussylvi
1983,,-1,0,sudah mati kutu mati langkah cara satu now or never
1984,,-1,1,bukti berik info sesat rakyat
1985,,-1,0,mungkin dia tidak pernah balai kota abang
1986,,1,-1,bener takut sm ahokdjarot jabat korup main nakal makanya getol bgt nenggelamin ahokdjarot
1987,,0,-1,sang jenderal nyusul jaksa segera periksa sang jenderal
1988,,0,1,suka maupun duka pemimpin harus tengah tengah rakyat
1989,,1,0,arti intelegencinya sudah trukur
1990,,1,0,elektabilitas stlh debat final masih ahokdjarot tinggi program pling tealistis objectif
1991,,-1,0,napsu gubernur mlanggar atur
1992,,-1,0,gubernur bru dbackup ormas radikal usung prtai trkrup bhya
1993,,-1,0,program sekal tidak laku fakta ilmiah jebak rakyat
1994,,-1,0,debat dep program bukan nyinyir kayak medsos lihat hasil tanggal
1995,,-1,0,paksa duduk abang cadang salah besar focus se
1996,,-1,0,debat tadi hanya tarung antara ama well luck
1997,,0,1,ingat gubernur adlh ayan masyarakat hrs rela waktu tenaga pikir rakyat
1998,,-1,1,nomer tidak naik dki nasib bakal normankamaru
1999,,0,-1,na kenapa ibas pakai lengan panjang terus apa kalah kekar tang
2000,,-1,0,bagaimana komentar eks anggota sindir paksa buah hati
2001,,-1,1,banyak kami tidak ingin gubernur bar
2002,,0,-1,demi periuk nasi tetap kebul
2003,,-1,0,sudah karakter memang susah
2004,,-1,0,kenapa msl kasih ya km gaptek tidak tau berita benar siapa kena kasus
2005,,1,0,iya jawa barat banyak suruh nyoblos nmor
2006,,-1,0,krik krik
2007,,0,1,jakarta terbang tinggi
2008,,-1,0,sindir om fahri
2009,,0,-1,omong
2010,,-1,0,cuma nyari massa sana dateng banyak orang bogor bekas
2011,,0,1,kepada presiden kapolri bapak om tante sehat
2012,,-1,1,maaf ahokdjarot tidak bayar kami kami mahal harga
2013,,1,0,jelas terang benderang ni ya
2014,,1,0,program bgtu pro rakyat kita tunggu lama
2015,,1,0,anak muda adalah generasi bangsa
2016,,-1,1,berkat saya tahu karakter asli bagaimana terima kasih saya asemakin yakin pilih ahokdjarot
2017,,0,-1,baru tau dia
2018,,0,1,jangan golput jangan sampai salah pilih
2019,,-1,0,kontestasi pilkada dki ungkap retorika siap abang tanpa arah makna
2020,,-1,1,trouble hanya kita paslon tidak sana sini apa ya tuhan tidak pernah tidur
2021,,0,1,carik solusi baik rakyat
2022,,-1,0,kita bahas putar bos kira konstelasi ahokdjarot ahokdjarot vs aniessandi aniessandi bulus apalagi muncul
2023,,0,-1,yakin kamu bro
2024,,-1,0,sperti dbilang abang dah watak sulit ubah tular dukung
2025,,-1,1,so far belum sanggup jelas
2026,,1,0,jakarta program agussylvi agussylvi
2027,,-1,0,maaf bro tidak bulu berjemvut
2028,,1,-1,banyak politikus manis bibir tidak tindak ahokdjarot bukti ucap buat sinkron konsisten
2029,,-1,0,turut saya tunjuk kualitas benar mau mentor siapa
2030,,1,0,bedak antara tegas beringas pilih
2031,,-1,0,ingat pilih nanti adl pemimpin mandiri bukan ekor ortu kyk krna
2032,,-1,0,lupa pernah beri grasi pidana bandar narkoba
2033,,-1,0,tinggal bilang ja monitoring cara ketat gitu ja repot payeh lau
2034,,1,0,calon gubernur dki jakarta kata data bicara
2035,,-1,1,buat konsisten kerja tni tidak bs bagaimana warga jkt
2036,,0,-1,dah tugas y pihak hukum bukan gubernur ya
2037,,1,-1,paslon tidak pernah lo mnistakn agama mana beda paslon trdakwa lo
2038,,1,0,gnerasi muda hrs slalu siap mnghdapi tntangan trmsk tntangan aqidah
2039,,0,1,ramah kuat bs satu
2040,,0,1,tetap bhinneka tetap tunggal
2041,,1,0,jakarta aman kota rukun warga agussylvi
2042,,0,1,pemimpin bawa orang lain sukses
2043,,-1,0,panen ni ya tmnnya
2044,,-1,0,sudah abang suatu sudah jelas tidak perlu jelas fact talk
2045,,0,-1,orang bijak minum tolak angin
2046,,0,1,busetttt ngakak jahat lucu mah beliau cuma ngikutin trend mb
2047,,0,-1,tidak bakal beroo
2048,,0,-1,rumah apung coba ntn film up bapak
2049,,0,-1,agussylvi saya saran satu ya taruh videotron kemarin ya soal gubernur kemarin tidak becus
2050,,-1,0,tanahe mbah to abang agussylvi
2051,,0,-1,narkoba duit byk duit pengaruh pengaruh mana
2052,,0,-1,waduu pusing
2053,,0,-1,rw dki puluh ribu kasih brp duit apbd dki
2054,,1,0,agussylvi agussylvi siap debat final part
2055,,-1,1,abang tadi wajah kurang rilex kliatan pucat bapak keren bapak be
2056,,-1,0,wajah perilaku karakter umat agama dukung selalu atak kasar beringas
2057,,-1,0,om tante agussylvi om tolong segera pulang
2058,,0,-1,ajar penanganan narkoba ahli agussylvi
2059,,-1,0,idung merah besar pinokio ya
2060,,1,0,closing statement bagai ombak samudra telan buih buih bual
2061,,0,1,kepada paslon ahokdjarot berik kesan posit
2062,,-1,0,ketiban bad record buapaknya bagaimana mau berantas tuntas narkoba
2063,,0,1,orang pemimpin depan harap utama penting masyarakat jakarta
2064,,1,0,tenang bank apa masalah oce solusi
2065,,0,-1,tidak pake dp nabung dl br bs punya rumah vertical housing rumah susun
2066,,-1,0,dik latih olah raga mau tidak
2067,,0,1,siap pilih anda pilih pantas turut hati nurani
2068,,-1,0,jawabanya sikap rasa gregetan
2069,,0,1,guna pilih mu jakarta
2070,,0,-1,bapak saya erti kena gratifikasi janji bapak mau diajarin tidak
2071,,-1,1,betul makin sana abang hafal makin baik masyarakat lebih mantap pilih nanti
2072,,1,0,bahkan artis bikin lagu buet ahokdjarot
2073,,-1,0,tampil bukan program makan tampil
2074,,-1,0,karakter ahokdjarot kasar
2075,,-1,0,nak ajar dulu nak plng rumah minta diskusi bapak ya duru wayahe
2076,,-1,0,luar biasa lubang semut
2077,,-1,0,kata pemimpin hrs tegas suai undang tanya tidak brp ya ttg pemimpin tegas
2078,,-1,0,agussylvi sehat antum
2079,,0,-1,dukung agussylvi pindah aniessandi terus aniessandi program tidak masuk akal mesti legawa ya
2080,,0,-1,pro paslon cagub ingat demi rakyat kalah harus legowo protes boleh jangan gaduh
2081,,0,-1,emang apa salah boss kampanye masih sah wong belum masa tenang
2082,,0,1,kompak solid satu nasionalis religius adab bangun ubah jakarta
2083,,0,1,doa musim
2084,,-1,0,ulama tunduk mantan umara
2085,,-1,0,tatap kalah pilgub dki
2086,,0,-1,dek baca ya
2087,,1,-1,sudah ln beneran tul tidak oom abang bro sby mbak
2088,,0,-1,dapet maneee ya
2089,,1,0,kuerreeeennnn
2090,,0,1,daun jatuh sudah atur oleh tuhan apalagi gubernur legowo
2091,,0,1,kalah lapang dada menang kita pantau kerja tambah bagus krja
2092,,-1,0,nyata bangun era sby paling unik megah dunia maya
2093,,-1,0,asyik kasih jam jangan jam dinding ya
2094,,-1,0,saya ide judul lagu judul emakku galak
2095,,-1,0,agussylvi pria kemayu cocok instruktur senam seeet daaah
2096,,-1,0,agussylvi pria cantik seeet daaah
2097,,1,0,sukses satu puter odong odong
2098,,0,1,kuat kita sinar umat rakyat satu
2099,,0,1,beda beda tetap satu tuju umat rakyat satu
2100,,0,1,agussylvi janji akn bawa semngat nilai mulia umat rakyat satu
2101,,0,1,umat rakyat satu semua golong hidup bahagia
2102,,0,1,ayo kita tata pkl rakyat umat rakyat satu
2103,,0,1,menang rakyat adalah harga mati umat rakyat satu
2104,,0,1,ayo kita jaga kebhinnekaan umat rakyat satu
2105,,0,1,umat rakyat satu
2106,,0,1,untung saya masih golput
2107,,-1,0,aniessandi aniessandi cukur jenggot masuk tasyabbuh menyerupai orang kafir
2108,,0,1,ayo kita jakarta kota aman umat rakyat satu
2109,,-1,0,coba tanya buapakmu agussylvi
2110,,-1,0,drdulu coblos y faati tengah finggir bau acem
2111,,0,-1,sbnrnya mgkn tidak pake aksi bela bela bla bla bla mgkn suara tidak nyungsep spt sekarang mgkn
2112,,-1,1,pilih fpi ahokdjarot ahokdjarot pilih islam krisiten hindu budha dll
2113,,-1,1,hanya ingat umat muslim agar pilih pemimpin muslim bukan sipenista agama
2114,,1,0,sip juoss omong ketua umum sibanteng perempuan
2115,,-1,0,ahli gagas ahli imajinasi cucok banget
2116,,-1,1,begink mau pemimpin
2117,,-1,0,siapa tahu masih percaya
2118,,0,1,konser satu jakarta akhir riah confetti merah putih
2119,,-1,0,premanisme ygdimodalin baju kopiah peci uangsaku oleh partaibusuk
2120,,-1,0,penghianatt
2121,,-1,0,andai atw tidak gubernur apakah mrk ikut aksi gugat tuhan
2122,,-1,0,pantas elektabilitas tidak dongkrak naik walaupun sudah keluar semua sisa sisa
2123,,1,0,tidak kerasan tidak arogansi agitasi beda sm massa bayar
2124,,-1,0,terus kalah arti curangin getooh atau bagaimana
2125,,0,1,umat rakyat satu saling rangkul satu lain harga orang orang disekelilingnya
2126,,0,1,umat rakyat satu tekad pantang serah jakarta lebih baik
2127,,-1,0,kmrn bilang anti kerasan kpd perempuan t nyata sahabat karib kerasan
2128,,-1,0,mana suara kata duli kaum prempuan buka mata kalian lebar viral
2129,,0,1,satu abang
2130,,-1,0,turut saya salah pilih timses tuju kata agussylvi
2131,,0,1,gelar kampanye akbar agussylvi agussylvi nilai sosok ayom
2132,,-1,0,tim sibuk nyeneng nyenengin agussylvi survey dia menang padahal semua lembaga survey besar tempat
2133,,0,1,srikandi apkli menang tidak agussylvi agussylvi tata pkl jangan gusur mereka
2134,,-1,0,saya mah tidak perlu protest sudah protes nama catut
2135,,1,0,sby ibu ani yudhoyono hatta rajasa agussylvi nyanyi ribu relawan rtrw menang tidak agussylvi
2136,,-1,1,muslim satu tiada dua sakit taw
2137,,0,-1,bnar hukum hanya tajam kbawah tidak pihak mereka lemah begitu tiap bijak tidak pihak rakyat
2138,,1,0,kaum muslimin gandeng tang ukhuwah islamiyah
2139,,1,0,jaga sap ronda
2140,,-1,0,kampanye ahokdjarot ahokdjarot tadi gila kampanye capres
2141,,0,1,muslimin muslimat umat rakyat satu
2142,,1,0,sap
2143,,1,0,tidak nandingin calon saya yakin jakarta l
2144,,0,-1,apa salah ted
2145,,0,1,mudah mudah mari kita satu juang rakyat jakarta
2146,,-1,0,waduhhh tiati telikung abang tidak balik modal
2147,,-1,0,bayang kl hadir debat tv swasta sejak awal elktblitas bakal habis sekarang
2148,,-1,1,betapa pelik hidup
2149,,-1,0,nyatut buat suara
2150,,-1,0,nyatut
2151,,-1,0,coba malam banyak cingcong soal kerasan verbal hadap perempuan wartawati aniaya fisik dukung bagaimana
2152,,-1,1,kerja tim sukses
2153,,0,1,tuhan sudah tetap pilih gubernur dki tidak dpt bendung wal
2154,,1,0,ikut kenapa ahokdjarot muslim tidak ikut taat atur kampanye bukan tempat ibadah
2155,,-1,0,tanya apa jawab jangan curiga tanya laen jangan curiga sekolah mending
2156,,0,1,seperti kisah bileam
2157,,0,1,umat rakyat satu jaga nkri cinta
2158,,0,1,ayo kita satu jakarta maju umat rakyat satu
2159,,0,1,umat rakyat satu pilih nomor satu
2160,,-1,1,betul abang bnyak salah pilih sengsara thn saat sby pimpin mksh nshtnya pasti saya tidak pilih anda
2161,,0,1,ayo semua umat rakyat satu
2162,,1,0,tempat baik adalah tengah rakyat
2163,,0,1,umat rakyat satu jakarta baru
2164,,0,1,tingkat ekonomi rakyat umat rakyat satu
2165,,0,1,ayo jaga kebhinnekaan umat rakyat satu
2166,,0,1,umat rakyat satu ayo raih bahagia rakyat
2167,,0,1,nelayan raih sejahtera umat rakyat satu
2168,,0,1,ayo kita lawan anggur umat rakyat satu
2169,,-1,0,tuhan ajak kampanye wakakakak
2170,,0,1,umat rakyat satu jakarta kota aman
2171,,0,1,jakarta aman damai saling jaga toleransi umat rakyat satu
2172,,0,1,umat rakyat satu raih hidup rakyat layak
2173,,0,1,umat rakyat satu raih menang rakyat
2174,,0,1,umat rakyat satu lawan anggur
2175,,-1,0,wir gtegas kshijin
2176,,1,0,lima puluh ribu massa pecah acara satu jakarta kampanye akbar
2177,,0,-1,ba atnya cuma tidak sebut muslim
2178,,0,-1,om rumor mau presiden ya
2179,,0,1,ihtiar sudah jalan gilir doa panjat
2180,,-1,0,paling saya tunggu adlh sikap setelah pilkada dki usai apalagi kl mereka kalah
2181,,0,-1,mending bapak nyapres nanti selesa ya
2182,,-1,0,calon pemimpin masa depan perempuan hrus pukul benar
2183,,0,1,umat rakyat satu
2184,,0,1,ayo kita tingkat ekonomi rakyat umat rakyat satu
2185,,0,1,umat rakyat jakarta ayo kita raih mimpi masa depan jakarta
2186,,-1,0,sayang beliau tidak tegas jelas soal reklamasi kurang greget
2187,,1,0,keren abang representasi bung karno waktu muda
2188,,-1,0,saat tegas tidak kompromi bandar narkoba agussylvi lupa bahwa sby pernah berik grasi sm bandar narkoba
2189,,0,-1,milih kamu
2190,,0,-1,butuh nyata jual terus
2191,,0,1,ulama milik peran penting maju jakarta umat rakyat satu
2192,,-1,0,lihat bapak curiga digeruduk takut nyawa rancam
2193,,-1,0,abang sudah ngelamar kerja belum buat jaga atau manager mba aj
2194,,-1,0,hasil tidak curiga brain use it
2195,,0,1,ayok kita lestari budaya betawi umat rakyat satu
2196,,0,1,tolong bapak minta doa kpd ibunda agar menang minta maaf kpd ibunda mertua agar doa menang bapak
2197,,-1,1,kita rakyat rugi kinerja penuh nuansa apa rakyat dki mau gen
2198,,0,1,semboyan semangat agussylvi usung adalah jakarta rakyat umat rakyat satu
2199,,-1,0,abang mau berantas narkoba dapet salam sby
2200,,1,0,kreenn
2201,,-1,0,lihat bapak curiga digeruduk takut nyawa rancam
2202,,-1,1,rakyat tuju
